density_var,var,exp,center,model,member,size_mb,finite_frac,status
sigma_1,so,abrupt-4xCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1026.7,0.3829,ok
sigma_1,so,abrupt-4xCO2,INM,INM-CM4-8,r1i1p1f1,1078.7,0.4398,ok
sigma_1,so,abrupt-4xCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,932.2,0.3867,ok
sigma_1,so,abrupt-4xCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,5297.6,0.3669,ok
sigma_1,so,abrupt-4xCO2,IPSL,IPSL-CM6A-MR1,r1i1p1f1,985.9,0.4021,ok
sigma_1,so,abrupt-4xCO2,MIROC,MIROC-ES2L,r1i1p1f2,959.1,0.3943,ok
sigma_1,so,abrupt-4xCO2,MIROC,MIROC6,r1i1p1f1,1528.5,0.3627,ok
sigma_1,so,abrupt-4xCO2,MOHC,HadGEM3-GC31-LL,r1i1p1f3,1012.7,0.4064,ok
sigma_1,so,abrupt-4xCO2,MOHC,UKESM1-0-LL,r1i1p1f2,1938.0,0.4039,ok
sigma_1,so,abrupt-4xCO2,MPI-M,MPI-ESM1-2-HR,r1i1p1f1,1163.5,0.3915,ok
sigma_1,so,abrupt-4xCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1118.1,0.3774,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r10i1p1f1,1014.2,0.4108,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r11i1p1f1,42.1,0.4216,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r12i1p1f1,42.0,0.421,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r13i1p1f1,1013.5,0.4094,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r1i1p1f1,1013.9,0.4099,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r1i2p1f1,1014.6,0.4099,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r2i1p1f1,42.4,0.4225,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r3i1p1f1,42.2,0.4224,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r4i1p1f1,1014.1,0.4094,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r5i1p1f1,42.3,0.4236,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r6i1p1f1,42.3,0.422,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r7i1p1f1,1015.1,0.4102,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r8i1p1f1,42.2,0.422,ok
sigma_1,so,abrupt-4xCO2,MRI,MRI-ESM2-0,r9i1p1f1,42.2,0.4234,ok
sigma_1,so,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p1f1,987.0,0.38,ok
sigma_1,so,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p1f3,389.4,0.1915,ok
sigma_1,so,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p3f1,986.4,0.3792,ok
sigma_1,so,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p5f1,989.4,0.3793,ok
sigma_1,so,abrupt-4xCO2,NASA-GISS,GISS-E2-1-H,r1i1p3f1,1098.2,0.4175,ok
sigma_1,so,abrupt-4xCO2,NASA-GISS,GISS-E2-2-G,r1i1p1f1,968.7,0.3713,ok
sigma_1,so,abrupt-4xCO2,NCAR,CESM2-FV2,r1i1p1f1,1022.2,0.4118,ok
sigma_1,so,abrupt-4xCO2,NCAR,CESM2-WACCM-FV2,r1i1p1f1,1012.7,0.4083,ok
sigma_1,so,abrupt-4xCO2,NCAR,CESM2-WACCM,r1i1p1f1,1024.6,0.4114,ok
sigma_1,so,abrupt-4xCO2,NCAR,CESM2,r1i1p1f1,5609.3,0.3285,ok
sigma_1,so,abrupt-4xCO2,NCC,NorCPM1,r1i1p1f1,570.6,0.3952,ok
sigma_1,so,abrupt-4xCO2,NCC,NorESM2-LM,r1i1p1f1,3163.4,0.3513,ok
sigma_1,so,abrupt-4xCO2,NOAA-GFDL,GFDL-ESM4,r1i1p1f1,1052.1,0.3927,ok
sigma_1,so,abrupt-4xCO2,NUIST,NESM3,r1i1p1f1,1057.8,0.4527,ok
sigma_1,so,abrupt-4xCO2,UA,MCM-UA-1-0,r1i1p1f1,3063.5,0.3795,ok
sigma_1,thetao,1pctCO2,BCC,BCC-CSM2-MR,r1i1p1f1,1308.0,0.369,ok
sigma_1,thetao,1pctCO2,BCC,BCC-ESM1,r1i1p1f1,1321.4,0.3748,ok
sigma_1,thetao,1pctCO2,CAMS,CAMS-CSM1-0,r1i1p1f1,1353.6,0.3886,ok
sigma_1,thetao,1pctCO2,CAMS,CAMS-CSM1-0,r2i1p1f1,1350.1,0.3888,ok
sigma_1,thetao,1pctCO2,CAS,FGOALS-f3-L,r1i1p1f1,1384.3,0.3638,ok
sigma_1,thetao,1pctCO2,CAS,FGOALS-f3-L,r2i1p1f1,1380.7,0.3633,ok
sigma_1,thetao,1pctCO2,CAS,FGOALS-f3-L,r3i1p1f1,1379.0,0.3644,ok
sigma_1,thetao,1pctCO2,CCCma,CanESM5-CanOE,r1i1p2f1,1378.5,0.3913,ok
sigma_1,thetao,1pctCO2,CCCma,CanESM5,r1i1p1f1,1368.0,0.3863,ok
sigma_1,thetao,1pctCO2,CCCma,CanESM5,r1i1p2f1,1378.5,0.3913,ok
sigma_1,thetao,1pctCO2,CCCma,CanESM5,r2i1p1f1,1380.7,0.3912,ok
sigma_1,thetao,1pctCO2,CCCma,CanESM5,r2i1p2f1,1379.1,0.3888,ok
sigma_1,thetao,1pctCO2,CCCma,CanESM5,r3i1p1f1,1383.7,0.3916,ok
sigma_1,thetao,1pctCO2,CCCma,CanESM5,r3i1p2f1,1382.9,0.3923,ok
sigma_1,thetao,1pctCO2,CMCC,CMCC-CM2-SR5,r1i1p1f1,1556.3,0.4015,ok
sigma_1,thetao,1pctCO2,CMCC,CMCC-ESM2,r1i1p1f1,1554.0,0.4,ok
sigma_1,thetao,1pctCO2,CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,1388.3,0.4031,ok
sigma_1,thetao,1pctCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,1395.5,0.4043,ok
sigma_1,thetao,1pctCO2,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,1391.4,0.3881,ok
sigma_1,thetao,1pctCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,4.6,0.0,corrupt
sigma_1,thetao,1pctCO2,EC-Earth-Consortium,EC-Earth3-AerChem,r1i1p1f1,1401.6,0.4056,ok
sigma_1,thetao,1pctCO2,EC-Earth-Consortium,EC-Earth3,r3i1p1f1,1491.8,0.4047,ok
sigma_1,thetao,1pctCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1385.1,0.3881,ok
sigma_1,thetao,1pctCO2,INM,INM-CM4-8,r1i1p1f1,1562.3,0.4381,ok
sigma_1,thetao,1pctCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,1344.6,0.3872,ok
sigma_1,thetao,1pctCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,1435.3,0.4078,ok
sigma_1,thetao,1pctCO2,IPSL,IPSL-CM6A-MR1,r1i1p1f1,1443.0,0.4022,ok
sigma_1,thetao,1pctCO2,MIROC,MIROC-ES2L,r1i1p1f2,1363.9,0.4066,ok
sigma_1,thetao,1pctCO2,MIROC,MIROC6,r1i1p1f1,1358.8,0.4003,ok
sigma_1,thetao,1pctCO2,MOHC,HadGEM3-GC31-LL,r1i1p1f3,1387.0,0.398,ok
sigma_1,thetao,1pctCO2,MOHC,HadGEM3-GC31-LL,r2i1p1f3,1385.8,0.3981,ok
sigma_1,thetao,1pctCO2,MOHC,HadGEM3-GC31-LL,r3i1p1f3,1388.2,0.399,ok
sigma_1,thetao,1pctCO2,MOHC,HadGEM3-GC31-LL,r4i1p1f3,1384.2,0.3965,ok
sigma_1,thetao,1pctCO2,MOHC,UKESM1-0-LL,r1i1p1f2,1385.7,0.4021,ok
sigma_1,thetao,1pctCO2,MOHC,UKESM1-0-LL,r2i1p1f2,1401.0,0.4066,ok
sigma_1,thetao,1pctCO2,MOHC,UKESM1-0-LL,r3i1p1f2,1412.8,0.4117,ok
sigma_1,thetao,1pctCO2,MOHC,UKESM1-0-LL,r4i1p1f2,1421.0,0.4147,ok
sigma_1,thetao,1pctCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1504.6,0.3829,ok
sigma_1,thetao,1pctCO2,MRI,MRI-ESM2-0,r1i1p1f1,1415.7,0.4072,ok
sigma_1,thetao,1pctCO2,MRI,MRI-ESM2-0,r1i2p1f1,1417.4,0.4068,ok
sigma_1,thetao,1pctCO2,NASA-GISS,GISS-E2-1-G,r1i1p1f1,1385.4,0.384,ok
sigma_1,thetao,1pctCO2,NASA-GISS,GISS-E2-1-G,r1i1p3f1,1380.1,0.3851,ok
sigma_1,thetao,1pctCO2,NASA-GISS,GISS-E2-2-G,r1i1p1f1,1398.6,0.3792,ok
sigma_1,thetao,1pctCO2,NCAR,CESM2-FV2,r1i1p1f1,1405.5,0.4095,ok
sigma_1,thetao,1pctCO2,NCAR,CESM2-WACCM-FV2,r1i1p1f1,1383.5,0.4038,ok
sigma_1,thetao,1pctCO2,NCAR,CESM2-WACCM,r1i1p1f1,1413.4,0.4079,ok
sigma_1,thetao,1pctCO2,NCAR,CESM2,r1i1p1f1,1387.3,0.3983,ok
sigma_1,thetao,1pctCO2,NCC,NorCPM1,r1i1p1f1,1605.7,0.3875,ok
sigma_1,thetao,1pctCO2,NCC,NorESM2-LM,r1i1p1f1,1485.3,0.3941,ok
sigma_1,thetao,1pctCO2,NCC,NorESM2-MM,r1i1p1f1,1477.6,0.3898,ok
sigma_1,thetao,1pctCO2,NOAA-GFDL,GFDL-CM4,r1i1p1f1,1493.8,0.3929,ok
sigma_1,thetao,1pctCO2,NOAA-GFDL,GFDL-ESM4,r1i1p1f1,1417.4,0.3941,ok
sigma_1,thetao,1pctCO2,NUIST,NESM3,r1i1p1f1,1436.7,0.4245,ok
sigma_1,thetao,1pctCO2,THU,CIESM,r1i1p1f1,1405.2,0.4066,ok
sigma_1,thetao,1pctCO2,UA,MCM-UA-1-0,r1i1p1f1,4219.6,0.3831,ok
sigma_1,thetao,abrupt-4xCO2,BCC,BCC-CSM2-MR,r1i1p1f1,1314.1,0.3716,ok
sigma_1,thetao,abrupt-4xCO2,BCC,BCC-ESM1,r1i1p1f1,1329.6,0.3798,ok
sigma_1,thetao,abrupt-4xCO2,CAMS,CAMS-CSM1-0,r1i1p1f1,1355.1,0.391,ok
